,Offers
2016011320,140.0
2016011321,85.0
2016011322,75.0
2016011323,75.0
2016011324,53.95
2016011325,53.95
2016011326,53.95
2016011327,53.95
2016011328,139.0
2016011329,139.0
2016011330,139.0
2016011331,139.0
2016011332,130.0
2016011333,170.0
2016011334,170.0
2016011335,130.0
2016011336,140.0
2016011337,140.0
2016011338,170.0
2016011339,170.0
2016011340,170.0
2016011341,140.0
2016011342,140.0
2016011343,57.0
2016011344,139.0
2016011345,140.0
2016011346,45.25
2016011347,90.0
2016011348,140.0
2016011401,160.0
2016011402,140.0
2016011403,160.0
2016011404,52.0
2016011405,52.0
2016011406,52.0
2016011407,52.0
2016011408,52.0
2016011409,140.0
2016011410,60.0
2016011411,160.0
2016011412,140.0
2016011413,160.0
2016011414,140.0
2016011415,139.0
2016011416,140.0
2016011417,139.0
2016011418,65.0
2016011419,65.0
2016011420,139.0
2016011421,65.0
2016011422,65.0
2016011423,139.0
2016011424,57.0
2016011425,55.74
2016011426,55.74
2016011427,170.0
2016011428,66.0
2016011429,66.0
2016011430,66.0
2016011431,66.0
2016011432,66.0
2016011433,78.25
2016011434,170.0
2016011435,155.0
2016011436,170.0
2016011437,170.0
2016011438,78.25
2016011439,139.0
2016011440,135.0
2016011441,134.0
2016011442,139.0
2016011443,135.0
2016011444,46.0
2016011445,200.0
2016011446,200.0
2016011447,200.0
2016011448,200.0
2016011501,200.0
2016011502,200.0
2016011503,200.0
2016011504,200.0
2016011505,200.0
2016011506,200.0
2016011507,200.0
2016011508,200.0
2016011509,200.0
2016011510,96.17
2016011511,138.0
2016011512,52.0
2016011513,52.0
2016011514,85.0
2016011515,140.0
2016011516,140.0
2016011517,140.0
2016011518,140.0
2016011519,140.0
2016011520,140.0
2016011521,250.0
2016011522,250.0
2016011523,250.0
2016011524,47.23
2016011525,47.23
2016011526,47.23
2016011527,140.0
2016011528,47.23
2016011529,47.45
2016011530,139.0
2016011531,139.0
2016011532,61.0
2016011533,139.0
2016011534,140.0
2016011535,160.0
2016011536,155.0
2016011537,155.0
2016011538,139.0
2016011539,155.0
2016011540,139.0
2016011541,139.0
2016011542,160.0
2016011543,140.0
2016011544,50.0
2016011545,48.0
2016011546,140.0
2016011547,120.0
2016011548,140.0
2016011601,140.0
2016011602,120.0
2016011603,135.0
2016011604,135.0
2016011605,50.0
2016011606,140.0
2016011607,79.0
