,Bids
2016011016,-39.95
2016011017,10.0
2016011018,23.0
2016011019,27.0
2016011020,23.5
2016011021,27.0
2016011022,27.0
2016011023,27.0
2016011024,31.25
2016011025,28.02
2016011026,28.02
2016011027,28.02
2016011028,28.81
2016011029,28.81
2016011030,31.25
2016011031,27.01
2016011032,27.01
2016011033,35.0
2016011034,25.0
2016011035,25.0
2016011036,25.0
2016011037,25.0
2016011038,23.0
2016011039,24.0
2016011040,5.0
2016011041,5.0
2016011042,15.0
2016011043,15.0
2016011044,24.0
2016011045,-35.0
2016011046,15.0
2016011047,6.3
2016011048,0.0
2016011101,23.75
2016011102,10.0
2016011103,0.0
2016011104,0.0
2016011105,0.0
2016011106,16.33
2016011107,25.0
2016011108,25.0
2016011109,23.0
2016011110,23.0
2016011111,-150.0
2016011112,-150.0
2016011113,-150.0
2016011114,0.0
2016011115,10.0
2016011116,-85.0
2016011117,-85.0
2016011118,-85.0
2016011119,-85.0
2016011120,-85.0
2016011121,28.02
2016011122,30.1
2016011123,30.2
2016011124,28.0
2016011125,0.0
2016011126,0.0
2016011127,0.0
2016011128,0.0
2016011129,0.0
2016011130,0.0
2016011131,0.0
2016011132,25.1
2016011133,5.0
2016011134,5.0
2016011135,25.0
2016011136,0.0
2016011137,0.0
2016011138,27.0
2016011139,27.85
2016011140,0.0
2016011141,-30.15
2016011142,-30.15
2016011143,24.0
2016011144,24.0
2016011145,10.0
2016011146,20.1
2016011147,20.1
2016011148,10.0
2016011201,10.0
2016011202,10.0
2016011203,20.1
2016011204,20.1
2016011205,-5.0
2016011206,-5.0
2016011207,-35.0
2016011208,-39.95
2016011209,-40.0
2016011210,-40.0
2016011211,-40.0
2016011212,-60.75
2016011213,-150.0
2016011214,-60.75
2016011215,0.0
2016011216,24.0
2016011217,24.0
2016011218,24.0
2016011219,24.0
2016011220,24.0
2016011221,24.0
2016011222,24.0
2016011223,24.0
2016011224,24.0
2016011225,24.0
2016011226,24.0
2016011227,24.0
2016011228,0.0
2016011229,24.0
2016011230,0.0
2016011231,24.0
2016011232,24.0
2016011233,24.0
2016011234,24.0
2016011235,0.0
2016011236,24.0
2016011237,24.0
2016011238,24.0
2016011239,24.0
2016011240,0.0
2016011241,0.0
2016011242,24.0
2016011243,24.0
2016011244,24.0
2016011245,24.0
2016011246,26.0
2016011247,20.1
2016011248,10.0
2016011301,10.0
2016011302,27.0
2016011303,26.0
2016011304,26.0
2016011305,26.77
2016011306,26.77
2016011307,27.0
2016011308,26.01
2016011309,26.01
2016011310,10.0
2016011311,24.0
2016011312,-150.0
2016011313,-150.0
2016011314,11.0
2016011315,26.0
2016011316,20.0
2016011317,26.77
2016011318,27.4
2016011319,24.0
2016011320,24.0
2016011321,24.0
2016011322,24.0
2016011323,24.0
2016011324,24.0
2016011325,24.0
2016011326,24.0
2016011327,24.0
2016011328,27.55
2016011329,27.55
2016011330,28.05
2016011331,27.55
2016011332,27.5
2016011333,24.5
2016011334,27.55
2016011335,0.0
2016011336,0.0
2016011337,0.0
2016011338,0.0
2016011339,25.0
2016011340,24.5
2016011341,25.0
2016011342,24.0
2016011343,24.0
2016011344,-30.0
2016011345,-35.0
2016011346,0.0
2016011347,10.0
2016011348,10.0
2016011401,10.0
2016011402,25.0
2016011403,15.0
2016011404,25.01
2016011405,21.0
2016011406,21.0
2016011407,10.0
2016011408,-5.0
2016011409,-5.0
2016011410,-5.0
2016011411,-85.0
2016011412,-150.0
2016011413,-85.0
2016011414,-5.0
2016011415,20.1
2016011416,24.0
2016011417,24.8
2016011418,24.8
2016011419,27.56
2016011420,28.0
2016011421,27.95
2016011422,27.95
2016011423,24.75
2016011424,30.66
2016011425,30.66
2016011426,0.0
2016011427,27.55
2016011428,0.0
2016011429,27.26
2016011430,28.0
2016011431,27.8
2016011432,24.5
2016011433,0.0
2016011434,0.0
2016011435,26.51
2016011436,28.5
2016011437,28.5
2016011438,0.0
2016011439,27.8
2016011440,0.0
2016011441,0.0
2016011442,28.0
2016011443,0.0
2016011444,27.0
2016011445,24.5
2016011446,24.5
2016011447,10.0
2016011448,10.0
2016011501,10.0
2016011502,10.0
2016011503,22.5
2016011504,22.5
2016011505,22.5
2016011506,22.5
2016011507,20.1
2016011508,-39.95
2016011509,-39.95
2016011510,-39.95
2016011511,20.1
2016011512,16.0
2016011513,10.0
2016011514,10.0
2016011515,16.0
2016011516,26.9
2016011517,27.8
2016011518,29.75
2016011519,29.75
2016011520,28.5
2016011521,27.55
2016011522,27.55
2016011523,24.75
2016011524,0.0
2016011525,27.4
2016011526,27.4
2016011527,27.55
2016011528,27.55
2016011529,27.55
2016011530,27.0
2016011531,27.0
2016011532,27.8
2016011533,27.55
2016011534,28.0
2016011535,24.23
2016011536,24.23
2016011537,0.0
2016011538,0.0
2016011539,24.23
2016011540,24.23
2016011541,24.23
2016011542,24.23
2016011543,24.23
2016011544,24.23
2016011545,24.23
