,index,time_peak,peak(MW),total_cap(MW)
365,20161231,1300,6042,8972
366,20170101,1800,6225,8972
367,20170102,0000,5044,8972
368,20170103,2000,7837,8972
369,20170104,0000,7160,8972
370,20170105,2300,4238,8972
371,20170106,1100,5295,8972
372,20170107,0000,3014,8972
373,20170108,2300,4315,8972
374,20170109,1600,7679,8972
375,20170110,0400,7798,8972
376,20170111,2300,7829,8972
377,20170112,0200,7948,8972
378,20170113,0100,7732,8972
379,20170114,0000,7022,8972
380,20170115,0600,4738,8972
381,20170116,0600,2547,8972
382,20170117,2300,1942,8972
383,20170118,0300,2259,8972
384,20170119,0000,1515,8972
385,20170120,2200,1835,8972
386,20170121,1000,1817,8972
387,20170122,0200,954,8972
388,20170123,2300,3435,9910
389,20170124,2300,4800,9910
390,20170125,2300,5695,9910
391,20170126,0000,5641,9910
392,20170127,1100,5864,9910
393,20170128,0000,3800,9910
394,20170129,0100,3602,9910
395,20170130,2300,5373,9910
396,20170131,1000,6668,9910
397,20170201,2300,6894,9910
398,20170202,1800,7748,9910
399,20170203,0500,7586,9910
400,20170204,0000,6858,9910
401,20170205,0000,2419,9910
402,20170206,2200,6435,9910
403,20170207,0000,6189,9910
404,20170208,2300,3595,9910
405,20170209,1200,3959,9910
406,20170210,0600,2434,9910
407,20170211,2300,5553,9910
408,20170212,2100,7650,9910
409,20170213,0000,7388,9910
410,20170214,0000,7191,9910
411,20170215,2300,5532,9910
412,20170216,1300,5958,9910
413,20170217,2300,3189,9910
414,20170218,2300,6085,9910
415,20170219,2300,6327,9910
416,20170220,1400,7975,9910
417,20170221,2300,7823,9910
418,20170222,0200,7999,9910
419,20170223,0800,6755,9910
420,20170224,2300,6248,9910
421,20170225,1400,7833,9910
422,20170226,2100,8061,9910
423,20170227,0000,7608,9910
424,20170228,2000,5977,9910
425,20170301,2300,4275,9910
426,20170302,1200,7760,9910
427,20170303,2100,4031,9910
428,20170304,0300,4160,9910
429,20170305,0300,4207,9910
430,20170306,2000,2933,9910
431,20170307,2300,6093,9910
432,20170308,0400,7319,9910
433,20170309,0900,6943,9910
434,20170310,2000,3664,9910
435,20170311,0000,3470,9910
436,20170312,2000,3118,9910
