,PrevDay,PrevWeek
2016010947,80.0,140.0
2016010948,90.0,75.0
2016011001,120.0,75.0
2016011002,80.0,75.0
2016011003,160.0,150.0
2016011004,160.0,75.0
2016011005,160.0,75.0
2016011006,80.0,75.0
2016011007,80.0,75.0
2016011008,80.0,75.0
2016011009,80.0,75.0
2016011010,80.0,160.0
2016011011,80.0,75.0
2016011012,140.0,75.0
2016011013,80.0,180.0
2016011014,80.0,180.0
2016011015,90.0,75.0
2016011016,120.89174783506277,75.0
2016011017,120.89174783506277,75.0
2016011018,120.89174783506277,75.0
2016011019,120.89174783506277,150.0
2016011020,160.0,139.0
2016011021,139.0,155.0
2016011022,65.0,155.0
2016011023,56.48,75.0
2016011024,56.48,61.75
2016011025,140.0,155.0
2016011026,140.0,155.0
2016011027,140.0,160.0
2016011028,139.0,155.0
2016011029,140.0,110.0
2016011030,140.0,65.0
2016011031,52.0,82.25
2016011032,140.0,66.0
2016011033,140.0,70.0
2016011034,138.0,155.0
2016011035,99.0,160.0
2016011036,90.0,70.0
2016011037,74.95,139.0
2016011038,140.0,155.0
2016011039,140.0,139.0
2016011040,140.0,140.0
2016011041,74.95,140.0
2016011042,139.0,150.0
2016011043,90.0,150.0
2016011044,79.0,139.0
2016011045,79.0,139.0
2016011046,85.0,160.0
2016011047,120.0,140.0
2016011048,79.0,75.0
2016011101,79.0,75.0
2016011102,79.0,75.0
2016011103,130.0,150.0
2016011104,160.0,150.0
2016011105,160.0,75.0
2016011106,79.0,75.0
2016011107,79.0,75.0
2016011108,79.0,160.0
2016011109,79.0,75.0
2016011110,79.0,75.0
2016011111,79.0,75.0
2016011112,79.0,75.0
2016011113,96.86,160.0
2016011114,140.0,140.0
2016011115,79.0,9999.0
2016011116,79.0,140.0
2016011117,79.0,140.0
2016011118,79.0,139.0
2016011119,139.0,160.0
2016011120,90.0,140.0
2016011121,75.0,99.0
2016011122,85.0,99.0
2016011123,140.0,99.0
2016011124,56.48,99.0
2016011125,120.89174783506277,140.0
2016011126,120.89174783506277,140.0
2016011127,52.0,65.0
2016011128,140.0,140.0
2016011129,140.0,140.0
2016011130,140.0,140.0
2016011131,140.0,140.0
2016011132,140.0,139.0
2016011133,140.0,72.0
2016011134,185.0,155.0
2016011135,185.0,72.48
2016011136,185.0,72.0
2016011137,185.0,155.0
2016011138,169.0,72.0
2016011139,169.0,140.0
2016011140,139.0,140.0
2016011141,125.0,66.0
2016011142,140.0,160.0
2016011143,140.0,160.0
2016011144,79.0,160.0
2016011145,139.0,160.0
2016011146,90.0,160.0
2016011147,120.0,160.0
2016011148,79.0,140.0
2016011201,120.0,74.5
2016011202,160.0,160.0
2016011203,79.0,79.99
2016011204,160.0,79.99
2016011205,79.0,79.99
2016011206,79.0,79.99
2016011207,75.0,79.99
2016011208,75.0,79.99
2016011209,160.0,79.99
2016011210,160.0,79.99
2016011211,79.0,140.0
2016011212,160.0,60.0
2016011213,140.0,140.0
2016011214,119.0,185.0
2016011215,139.0,185.0
2016011216,155.0,185.0
2016011217,155.0,160.0
2016011218,139.0,160.0
2016011219,139.0,140.0
2016011220,139.0,155.0
2016011221,155.0,139.0
2016011222,140.0,140.0
2016011223,140.0,155.0
2016011224,49.95,155.0
2016011225,140.0,155.0
2016011226,170.0,140.0
2016011227,66.74,140.0
2016011228,140.0,140.0
2016011229,140.0,120.0
2016011230,59.95,120.0
2016011231,59.95,71.0
2016011232,140.0,120.0
2016011233,160.0,160.0
2016011234,170.0,160.0
2016011235,120.89174783506277,124.0
2016011236,45.0,160.0
2016011237,59.95,160.0
2016011238,140.0,124.0
2016011239,140.0,139.0
2016011240,140.0,139.0
2016011241,139.0,140.0
2016011242,140.0,160.0
2016011243,140.0,160.0
2016011244,140.0,120.0
2016011245,140.0,140.0
2016011246,140.0,140.0
2016011247,52.0,140.0
2016011248,52.0,120.0
2016011301,160.0,120.0
2016011302,160.0,80.0
2016011303,140.0,80.0
2016011304,52.0,80.0
2016011305,52.0,80.0
2016011306,52.0,80.0
2016011307,52.0,50.0
2016011308,52.0,51.0
2016011309,52.0,51.0
2016011310,52.0,51.0
2016011311,52.0,56.48
2016011312,52.0,140.0
2016011313,140.0,160.0
2016011314,140.0,140.0
2016011315,155.0,155.0
2016011316,155.0,155.0
2016011317,139.0,139.0
2016011318,90.0,130.0
2016011319,47.23,155.0
2016011320,139.0,155.0
2016011321,140.0,139.0
2016011322,139.0,139.0
2016011323,139.0,48.45
2016011324,140.0,48.45
2016011325,160.0,48.45
2016011326,160.0,48.45
2016011327,160.0,48.45
2016011328,140.0,66.25
2016011329,140.0,66.25
2016011330,59.95,70.0
2016011331,59.95,82.0
2016011332,59.95,82.0
2016011333,140.0,82.0
2016011334,160.0,82.0
2016011335,160.0,139.0
2016011336,59.95,139.0
2016011337,160.0,140.0
2016011338,170.0,139.0
2016011339,59.95,139.0
2016011340,59.95,139.0
2016011341,59.75,139.0
2016011342,139.0,140.0
2016011343,139.0,140.0
2016011344,140.0,60.0
2016011345,140.0,139.0
2016011346,138.0,90.0
2016011347,138.0,75.0
2016011348,160.0,75.0
2016011401,160.0,160.0
2016011402,160.0,75.0
2016011403,52.0,75.0
2016011404,52.0,75.0
2016011405,140.0,75.0
2016011406,140.0,75.0
2016011407,52.0,75.0
2016011408,52.0,75.0
2016011409,52.0,75.0
2016011410,140.0,75.0
2016011411,52.0,75.0
2016011412,52.0,160.0
2016011413,250.0,75.0
2016011414,140.0,90.0
2016011415,140.0,139.0
2016011416,325.0,160.0
2016011417,135.0,140.0
2016011418,45.49,139.0
2016011419,140.0,49.9
2016011420,140.0,140.0
2016011421,85.0,140.0
2016011422,75.0,325.0
2016011423,75.0,325.0
2016011424,53.95,185.0
2016011425,53.95,185.0
2016011426,53.95,185.0
2016011427,53.95,140.0
2016011428,139.0,61.0
2016011429,139.0,69.95
2016011430,139.0,69.95
2016011431,139.0,85.0
2016011432,130.0,140.0
2016011433,170.0,90.0
2016011434,170.0,185.0
2016011435,130.0,185.0
2016011436,140.0,100.0
2016011437,140.0,138.0
2016011438,170.0,85.0
2016011439,170.0,85.0
2016011440,170.0,140.0
2016011441,140.0,140.0
2016011442,140.0,140.0
2016011443,57.0,140.0
2016011444,139.0,48.5
2016011445,140.0,46.95
2016011446,45.25,52.0
2016011447,90.0,140.0
2016011448,140.0,65.0
2016011501,160.0,65.0
2016011502,140.0,65.0
2016011503,160.0,140.0
2016011504,52.0,65.0
2016011505,52.0,65.0
2016011506,52.0,140.0
2016011507,52.0,65.0
2016011508,52.0,65.0
2016011509,140.0,65.0
2016011510,60.0,65.0
2016011511,160.0,160.0
2016011512,140.0,65.0
2016011513,160.0,160.0
2016011514,140.0,140.0
2016011515,139.0,155.0
2016011516,140.0,155.0
2016011517,139.0,140.0
2016011518,65.0,120.0
2016011519,65.0,120.0
2016011520,139.0,65.0
2016011521,65.0,51.95
2016011522,65.0,51.95
2016011523,139.0,51.95
2016011524,57.0,51.95
2016011525,55.74,51.95
2016011526,55.74,51.95
2016011527,170.0,51.95
2016011528,66.0,139.0
2016011529,66.0,51.95
2016011530,66.0,90.0
2016011531,66.0,90.0
2016011532,66.0,140.0
2016011533,78.25,140.0
2016011534,170.0,140.0
2016011535,155.0,139.0
2016011536,170.0,140.0
2016011537,170.0,160.0
2016011538,78.25,140.0
2016011539,139.0,160.0
2016011540,135.0,160.0
2016011541,134.0,139.0
2016011542,139.0,140.0
2016011543,135.0,140.0
2016011544,46.0,139.0
2016011545,200.0,139.0
2016011546,200.0,140.0
2016011547,200.0,80.0
2016011548,200.0,90.0
2016011601,200.0,120.0
2016011602,200.0,80.0
2016011603,200.0,160.0
2016011604,200.0,160.0
2016011605,200.0,160.0
2016011606,200.0,80.0
2016011607,200.0,80.0
2016011608,200.0,80.0
2016011609,200.0,80.0
2016011610,96.17,80.0
2016011611,138.0,80.0
2016011612,52.0,140.0
2016011613,52.0,80.0
2016011614,85.0,80.0
2016011615,140.0,90.0
2016011616,140.0,120.89174783506277
2016011617,140.0,120.89174783506277
2016011618,140.0,120.89174783506277
2016011619,140.0,120.89174783506277
2016011620,140.0,160.0
2016011621,250.0,139.0
2016011622,250.0,65.0
2016011623,250.0,56.48
2016011624,47.23,56.48
2016011625,47.23,140.0
2016011626,47.23,140.0
2016011627,140.0,140.0
2016011628,47.23,139.0
2016011629,47.45,140.0
2016011630,139.0,140.0
2016011631,139.0,52.0
2016011632,61.0,140.0
2016011633,139.0,140.0
2016011634,140.0,138.0
2016011635,160.0,99.0
2016011636,155.0,90.0
2016011637,155.0,74.95
2016011638,139.0,140.0
2016011639,155.0,140.0
2016011640,139.0,140.0
2016011641,139.0,74.95
2016011642,160.0,139.0
2016011643,140.0,90.0
2016011644,50.0,79.0
2016011645,48.0,79.0
2016011646,140.0,85.0
2016011647,120.0,120.0
2016011648,140.0,79.0
2016011701,140.0,79.0
2016011702,120.0,79.0
2016011703,135.0,130.0
2016011704,135.0,160.0
2016011705,50.0,160.0
2016011706,140.0,79.0
2016011707,79.0,79.0
2016011708,49.95,79.0
2016011709,49.95,79.0
2016011710,44.49,79.0
2016011711,44.0,79.0
2016011712,140.0,79.0
2016011713,160.0,96.86
2016011714,160.0,140.0
2016011715,140.0,79.0
2016011716,47.5,79.0
2016011717,200.0,79.0
2016011718,200.0,79.0
2016011719,200.0,139.0
2016011720,200.0,90.0
2016011721,200.0,75.0
2016011722,325.0,85.0
2016011723,200.0,140.0
2016011724,200.0,56.48
